
> @once-ui-system/magic-portfolio@1.3.0 start /app
> serve out

 INFO  Accepting connections at http://localhost:3000
 HTTP  1/13/2026 7:08:40 PM ::1 GET /work
 HTTP  1/13/2026 7:08:40 PM ::1 GET /
 HTTP  1/13/2026 7:08:40 PM ::1 Returned 200 in 98 ms
 HTTP  1/13/2026 7:08:40 PM ::1 Returned 200 in 19 ms
 HTTP  1/13/2026 7:08:40 PM ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2
 HTTP  1/13/2026 7:08:40 PM ::1 GET /_next/static/chunks/00df5ecde13f8ebd.css
 HTTP  1/13/2026 7:08:40 PM ::1 GET /_next/static/chunks/185bb46d39f73c37.css
 HTTP  1/13/2026 7:08:40 PM ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2
 HTTP  1/13/2026 7:08:40 PM ::1 GET /_next/static/chunks/5ea70f59aec9fcea.css
 HTTP  1/13/2026 7:08:40 PM ::1 GET /_next/static/chunks/81969146f4c820ed.css
 HTTP  1/13/2026 7:08:40 PM ::1 GET /_next/static/chunks/2fe037e916426b09.css
 HTTP  1/13/2026 7:08:40 PM ::1 Returned 200 in 72 ms
 HTTP  1/13/2026 7:08:40 PM ::1 GET /_next/static/chunks/00df5ecde13f8ebd.css
 HTTP  1/13/2026 7:08:40 PM ::1 Returned 200 in 74 ms
 HTTP  1/13/2026 7:08:40 PM ::1 Returned 200 in 81 ms
 HTTP  1/13/2026 7:08:40 PM ::1 Returned 200 in 71 ms
 HTTP  1/13/2026 7:08:40 PM ::1 Returned 200 in 71 ms
 HTTP  1/13/2026 7:08:40 PM ::1 Returned 200 in 19 ms
 HTTP  1/13/2026 7:08:40 PM ::1 GET /_next/static/chunks/185bb46d39f73c37.css
 HTTP  1/13/2026 7:08:40 PM ::1 Returned 200 in 81 ms
 HTTP  1/13/2026 7:08:40 PM ::1 Returned 200 in 33 ms
 HTTP  1/13/2026 7:08:40 PM ::1 GET /_next/static/chunks/7412ef1dec2942e7.js
 HTTP  1/13/2026 7:08:40 PM ::1 GET /_next/static/chunks/5ea70f59aec9fcea.css
 HTTP  1/13/2026 7:08:40 PM ::1 Returned 200 in 124 ms
 HTTP  1/13/2026 7:08:40 PM ::1 Returned 200 in 50 ms
 HTTP  1/13/2026 7:08:40 PM ::1 GET /_next/static/chunks/2673f19e45597ded.js
 HTTP  1/13/2026 7:08:40 PM ::1 GET /_next/static/chunks/81969146f4c820ed.css
 HTTP  1/13/2026 7:08:40 PM ::1 GET /_next/static/chunks/7412ef1dec2942e7.js
 HTTP  1/13/2026 7:08:40 PM ::1 Returned 200 in 26 ms
 HTTP  1/13/2026 7:08:40 PM ::1 GET /_next/static/chunks/2673f19e45597ded.js
 HTTP  1/13/2026 7:08:40 PM ::1 GET /_next/static/chunks/57f656bba7018d7c.js
